รหัสพัสดุ,รายละเอียดพัสดุ,"หน่วย
นับ",ราคากลาง,ประเภท,ใช้ในงานแก้ไฟ
1000030107,PILE 0.44X0.44X14 M. 14 T-M. (T4),EA,"17,670.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000040001,CONC. ANCHOR PLATE 550X550X150 MM.,EA,216,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000040003,CONC. ANCHOR PLATE 600X600X180 MM.,EA,311,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050000,CONC. FOOTING 1.10X2.15X2.30 M.,EA,"17,540.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050003,CONC. FOOTING 1.00X1.00X3.50 M.,EA,"17,590.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050012,CONC. FOOTING 0.90X1.40X3.00 M.,EA,"16,670.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050013,CONC. FOOTING 0.90X2.20X2.30 M. ,EA,"14,050.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050014,CONC. FOOTING 0.90X1.10X3.00 M. ,EA,"14,740.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050015,CONC. FOOTING 0.70X1.20X3.00 M. ,EA,"14,130.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050016,CONC. FOOTING 0.90X2.20X2.40 M. ,EA,"18,510.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050017,CONC. FOOTING 0.70X2.30X2.20 M. ,EA,"14,040.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050100,CONC. FOOTING 0.80X1.30X2.30 M. ,EA,"10,730.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050101,CONC. FOOTING 0.80X1.60X2.50 M. ,EA,"16,250.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110000,"CROSSARM 100X100X1,500 MM.",EA,268,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110001,"CROSSARM 100X100X2,500 MM.",EA,528,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110002,"CROSSARM 120X120X3,000 MM.",EA,920,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110003,"CROSSARM (FOR D/E) 120X120X2,000 MM.",EA,631,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110004,"CROSSARM (FOR D/E) 120X120X2,500 MM.",EA,936,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110006,"CROSSARM 100X100X2,500 MM. HPC",EA,476,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110007,"CROSSARM 100X100X3,200 MM. HPC",EA,569,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110008,"CROSSARM 120X120X2,000 MM. HPC",EA,559,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110009,"CROSSARM 120X120X2,500 MM. HPC",EA,657,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110010,"CROSSARM 120X120X3,000 MM. HPC",EA,761,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000210000,"BEAM, SPUN 100X100X3,200 MM.",EA,645,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000210003,"BEAM 150X250X3,550 MM.",EA,919,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000210004,"BEAM 150X300X4,600 MM.",EA,"1,700.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1020010009,สายอลูมิเนียมเปลือย 400 ต.มม. มอก.85 (จ้างรีดด้วยอินกอท EC grade),KM,"23,400.00",พัสดุหลัก,ไม่ใช้
1020010009,สายอลูมิเนียมเปลือย 400 ต.มม. มอก.85 (จ้างรีดด้วยอินกอท Primary grade),KM,"25,550.00",พัสดุหลัก,ไม่ใช้
1020020002,สายอลูมิเนียมแกนเหล็ก 50/8 ต.มม. มอก.86 (จ้างรีดด้วยอินกอท EC grade),KM,"6,644.00",พัสดุหลัก,ไม่ใช้
1020020002,สายอลูมิเนียมแกนเหล็ก 50/8 ต.มม. มอก.86 (จ้างรีดด้วยอินกอท Primary grade),KM,"6,785.00",พัสดุหลัก,ไม่ใช้
1020040007,เคเบิลใต้ดิน ทองแดง 22 เควี 1x240 ต.มม.,M,"1,907.00",พัสดุหลัก,ไม่ใช้
1020040008,เคเบิลใต้ดิน ทองแดง 22 เควี 1x500 ต.มม.,M,"3,151.00",พัสดุหลัก,ไม่ใช้
1020040009,เคเบิลใต้ดินทองแดง 22 เควี 1X400 ต.มม.,M,"2,899.00",พัสดุหลัก,ไม่ใช้
1020040107,เคเบิลใต้ดิน ทองแดง 33 เควี 1x240 ต.มม.,M,"2,209.00",พัสดุหลัก,ไม่ใช้
1020040108,เคเบิลใต้ดินทองแดง 33 เควี 1 X 400 ต.มม.,M,"3,267.00",พัสดุหลัก,ไม่ใช้
1020040109,เคเบิลใต้ดินทองแดง 33 เควี 1 X 500 ต.มม.,M,"3,627.00",พัสดุหลัก,ไม่ใช้
1020040200,เคเบิ้ลใต้ดินทองแดง 115 เควี 1x800 ตร.มม.,M,"7,701.00",พัสดุหลัก,ไม่ใช้
1020050000,เคเบิลอากาศ อลูมิเนียม 22 เควี 1x50 ต.มม. (จ้างรีดด้วยอินกอท EC grade),KM,"63,150.00",พัสดุหลัก,ไม่ใช้
1020050000,เคเบิลอากาศ อลูมิเนียม 22 เควี 1x50 ต.มม. (จ้างรีดด้วยอินกอท Primary grade),KM,"63,890.00",พัสดุหลัก,ไม่ใช้
1020050004,เคเบิลอากาศ อลูมิเนียม 22 เควี 1x185 ต.มม. (จ้างรีดด้วยอินกอท EC grade),KM,"105,600.00",พัสดุหลัก,ไม่ใช้
1020050004,เคเบิลอากาศ อลูมิเนียม 22 เควี 1x185 ต.มม. (จ้างรีดด้วยอินกอท Primary grade),KM,"106,100.00",พัสดุหลัก,ไม่ใช้
1020050100,เคเบิลอากาศ อลูมิเนียม 33 เควี 1x50 ต.มม. (จ้างรีดด้วยอินกอท EC grade),KM,"83,270.00",พัสดุหลัก,ไม่ใช้
1020050100,เคเบิลอากาศ อลูมิเนียม 33 เควี 1x50 ต.มม. (จ้างรีดด้วยอินกอท Primary grade),KM,"83,780.00",พัสดุหลัก,ไม่ใช้
1020050104,เคเบิลอากาศ อลูมิเนียม 33 เควี 1x185 ต.มม. (จ้างรีดด้วยอินกอท EC grade),KM,"143,600.00",พัสดุหลัก,ไม่ใช้
1020050104,เคเบิลอากาศ อลูมิเนียม 33 เควี 1x185 ต.มม. (จ้างรีดด้วยอินกอท Primary grade),KM,"144,600.00",พัสดุหลัก,ไม่ใช้
1020070000,"สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75 องศา
เชลเซียส 25 ต.มม.มอก.293 (จ้างรีดด้วยอินกอท EC grade)",KM,"7,023.00",พัสดุหลัก,ไม่ใช้
1020070000,"สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75 องศา
เชลเซียส 25 ต.มม.มอก.293 (จ้างรีดด้วยอินกอท Primary grade)",KM,"7,101.00",พัสดุหลัก,ไม่ใช้
1020070002,"สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75 องศา
เชลเซียส 50 ต.มม.มอก.293 (จ้างรีดด้วยอินกอท EC grade)",KM,"9,889.00",พัสดุหลัก,ไม่ใช้
1020070002,"สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75 องศา
เชลเซียส 50 ต.มม.มอก.293 (จ้างรีดด้วยอินกอท Primary grade)",KM,"10,290.00",พัสดุหลัก,ไม่ใช้
1020070004,"สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75 องศา
เชลซียส 95 ต.มม.มอก.293 (จ้างรีดด้วยอินกอท EC grade)",KM,"22,230.00",พัสดุหลัก,ไม่ใช้
